Alternate ID,First Name,Last Name,Preferred First Name,Email,Class Year,Guest Of,Registrant - 9822 - Is Registered
1,Ellen,Arthur,Ellen,arthur@nosuchemail.com,2000,,TRUE
,Abigail,Adams,Abbey,,1970,"Adams, John",TRUE
2,John,Adams,John,adams@nosuchemail.com,1970,,TRUE
3,George,Washington,George,washington@nosuchemail.com,1980,,TRUE
,Martha,Washington,Marti,,1980,"Washington, George",TRUE
,Jefferson,Martha,Martha,marthajefferson@nosuchemail.com,2005,"Jefferson, Thomas",TRUE
4,Thomas,Jefferson,Tom,tomjefferson@nosuchemail.com,2005,,TRUE
,Dolley,Madison,Dolls,dolley@nosuchemail.com,2012,"Madison, James",TRUE
,Elizabeth,Monroe,Liz,liz@nosuchemail.com,NONE,"Monroe, James",TRUE
5,James,Madison,James,jamesmadison@nosuchemail.com,2012,,TRUE
,Rachel,Jackson,Rachel,racheljackson@nosuchemail.com,2014,"Jackson, Andrew",TRUE
6,Andrew,Jackson,Andrew,andrewjackson@nosuchemail.com,2014,,TRUE
7,James,Monroe,Jim,jamesmonroe@nosuchemail.com,NONE,,TRUE
8,Martin,Van Buren,Martin,martinvanburen@nosuchemail.com,1990,,TRUE
9,Hannah,Van Buren,Hannah,hannahvanburen@nosuchemail.com,1990,,TRUE
10,Anna,Harrison,Anna,annaharrison@nosuchemail.com,1995,,TRUE
11,John,Tyler,Jack,jacktyler@nosuchemail.com,1995,,TRUE
12,Sarah,Polk,Sarah,sarahpolk@nosuchemail.com,2010,,TRUE
,James,Polk,Jimmy,jamespolk@nosuchemail.com,2010,"Polk, Sarah",TRUE
,Letitia,Tyler,Letitia,letitiatyler@nosuchemail.com,1995,"Tyler, John",TRUE
