Last Name,First Name,alternate_id,imodules_id,pref_first_name,email_address,Class Year,Registrant - 9822 - Is Registered,Campus Tour - Is attending,Campus Tour - 9842 - Is Registered,Welcome Cocktail Reception - Is attending,Welcome Cocktail Reception - RW15 - Friday Cocktail Reception,Fee Name (Welcome Cocktail Reception - RW15 - Friday Cocktail Reception),Welcome Cocktail Reception - RW15 - Friday Cocktail Reception - total_price_paid,Welcome Cocktail Reception - 9876 - Is Registered,2000 Friday Night Class Event - Is attending,2000 Friday Night Class Event - RW15 - Friday 2000 Event Fee,Fee Name (2000 Friday Night Class Event - RW15 - Friday 2000 Event Fee),2000 Friday Night Class Event - RW15 - Friday 2000 Event Fee - total_price_paid,2000 Friday Night Class Event - 9893 - Is Registered,Evening Cocktails Dinner  Gala - Is attending,Evening Cocktails Dinner  Gala - RW15 - Saturday Gala,Fee Name (Evening Cocktails Dinner  Gala - RW15 - Saturday Gala),Evening Cocktails Dinner  Gala - RW15 - Saturday Gala - total_price_paid,"Evening Cocktails, Dinner & Gala - 10036 - Is Registered",Guest of,Date Added
Arthur,Ellen,1,1,Ellen,arthur@nosuchemail.com,2000,TRUE,FALSE,FALSE,FALSE,0,,0,FALSE,FALSE,1,Adult,50,TRUE,FALSE,0,,0,FALSE,,
Adams,Abigail,,2,Abbey,,NONE,TRUE,FALSE,FALSE,TRUE,1,Adult,25,TRUE,FALSE,0,,0,FALSE,FALSE,0,,0,FALSE,"Adams, John",
Adams,John,2,3,John,adams@nosuchemail.com,1970,TRUE,FALSE,FALSE,TRUE,1,Adult,25,TRUE,FALSE,0,,0,FALSE,FALSE,0,,0,FALSE,,3/30/15 16:25
Washington,George,3,4,George,washington@nosuchemail.com,1980,TRUE,TRUE,TRUE,TRUE,1,Adult,25,TRUE,FALSE,,,,FALSE,TRUE,1,Adult,80,TRUE,,
Washington,Martha,,5,Marti,,NONE,TRUE,TRUE,TRUE,TRUE,1,Child,0,TRUE,FALSE,,,,FALSE,FALSE,0,,0,FALSE,"Washington, George",
Martha,Jefferson,,6,Martha,marthajefferson@nosuchemail.com,NONE,TRUE,FALSE,FALSE,FALSE,0,,0,FALSE,FALSE,,,,FALSE,TRUE,1,Adult,80,TRUE,"Jefferson, Thomas",
Jefferson,Thomas,4,7,Tom,tomjefferson@nosuchemail.com,2005,TRUE,FALSE,FALSE,FALSE,0,,0,FALSE,FALSE,,,,FALSE,TRUE,1,Adult,80,TRUE,,
Madison,Dolley,,8,Dolls,dolley@nosuchemail.com,NONE,TRUE,FALSE,FALSE,FALSE,,,,FALSE,FALSE,,,,FALSE,FALSE,,,,FALSE,"Madison, James",
Monroe,Elizabeth,,9,Liz,liz@nosuchemail.com,NONE,TRUE,FALSE,FALSE,FALSE,,,,FALSE,FALSE,,,,FALSE,TRUE,1,Adult,80,TRUE,"Monroe, James",
Madison,James,5,10,James,jamesmadison@nosuchemail.com,2012,TRUE,FALSE,FALSE,FALSE,0,,0,FALSE,FALSE,,,,FALSE,FALSE,0,,0,FALSE,,
